Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  MsMpEng.exe	3.51	164,860 K	185,720 K	2928	Antimalware Service Executable	Microsoft Corporation
  svchost.exe		1,272 K	1,112 K	2944	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,304 K	5,536 K	2964	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,348 K	3,864 K	3036	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,264 K	1,372 K	3104	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,228 K	3,384 K	3268	Host Process for Windows Services	Microsoft Corporation
  armsvc.exe		3,060 K	15,608 K	3292	Adobe Acrobat Update Service	Adobe Systems
  svchost.exe		3,644 K	10,792 K	3516	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,728 K	5,092 K	3608	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,540 K	9,220 K	2000	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	4,348 K	9,028 K	4052	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,788 K	5,636 K	1860	Host Process for Windows Services	Microsoft Corporation
  SgrmBroker.exe		3,244 K	3,828 K	2060	System Guard Runtime Monitor Broker Service	Microsoft Corporation
  svchost.exe		4,608 K	5,184 K	2824	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,516 K	4,692 K	728	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		64,604 K	48,512 K	2344	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,532 K	11,048 K	3632	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,704 K	5,620 K	4728	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,116 K	3,328 K	2484	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,984 K	9,560 K	704	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,756 K	24,404 K	4456	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,276 K	9,372 K	2548	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,728 K	1,888 K	2404	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe	0.98	9,620 K	14,972 K	2728		
  svchost.exe		3,652 K	14,112 K	348	Host Process for Windows Services	Microsoft Corporation
  SecurityHealthService.exe		3,956 K	7,432 K	5568	Windows Security Health Service	Microsoft Corporation
  SteamService.exe	< 0.01	5,004 K	3,960 K	6048	Steam Client Service	Valve Corporation
  NisSrv.exe	0.07	6,068 K	6,020 K	6600	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		2,788 K	2,968 K	6172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,624 K	2,700 K	6632	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,008 K	5,260 K	1124	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,600 K	1,836 K	3748	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe	0.01	26,592 K	30,032 K	3788	Microsoft Windows Search Indexer	Microsoft Corporation
  svchost.exe		1,400 K	6,052 K	7520	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,504 K	10,088 K	8000	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.30	6,712 K	11,856 K	632	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,244 K	1,032 K	744		
csrss.exe	0.56	1,864 K	2,512 K	512		
winlogon.exe		2,724 K	3,060 K	588		
 fontdrvhost.exe		3,584 K	6,004 K	752		
 dwm.exe	2.68	52,948 K	85,588 K	976		
explorer.exe	0.58	72,276 K	150,416 K	2792	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,708 K	3,260 K	5532	Windows Security notification icon	Microsoft Corporation
 VBoxTray.exe	0.01	2,412 K	2,940 K	5648	VirtualBox Guest Additions Tray Application	Oracle Corporation
 OneDrive.exe		25,784 K	18,420 K	5720	Microsoft OneDrive	Microsoft Corporation
 Steam.exe	0.82	38,100 K	35,032 K	5880	Steam Client Bootstrapper	Valve Corporation
  steamwebhelper.exe	0.44	15,132 K	15,516 K	5964	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		5,804 K	3,376 K	5992	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		24,604 K	12,824 K	5176	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		8,804 K	7,148 K	4500	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		21,292 K	8,524 K	6212	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		45,704 K	34,212 K	6224	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		38,084 K	27,832 K	6360	Steam Client WebHelper	Valve Corporation
 powershell.exe	0.02	61,548 K	79,640 K	7104	Windows PowerShell	Microsoft Corporation
  conhost.exe	< 0.01	4,340 K	10,028 K	7128	Console Window Host	Microsoft Corporation
 procexp64.exe	16.32	43,108 K	67,024 K	4852	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
AdobeARM.exe		2,168 K	10,728 K	7852	Adobe Reader and Acrobat Manager	Adobe Systems
firefox.exe	0.50	184,420 K	274,180 K	2812	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	0.37	15,432 K	63,928 K	6852	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		53,524 K	105,716 K	5256	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	< 0.01	26,300 K	61,492 K	2240	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	0.03	52,504 K	123,228 K	4132	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		75,384 K	148,148 K	5092	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		17,392 K	42,872 K	4876	Firefox Developer Edition	Mozilla Corporation
Taskmgr.exe	1.18	21,628 K	43,896 K	2464		

